질문,답변
배송은 얼마나 걸리나요?,보통 결제 완료 후 2~3일 이내에 배송됩니다. 지역에 따라 차이가 있을 수 있습니다.
무료 배송은 얼마부터 가능한가요?,"30,000원 이상 구매 시 무료 배송 혜택이 적용됩니다."
주문 취소는 어떻게 하나요?,마이페이지 > 주문내역에서 취소 가능한 상태일 경우 직접 취소하실 수 있습니다.
해외 배송도 되나요?,현재는 국내 배송만 지원하고 있습니다. 해외 배송은 준비 중입니다.
주문한 책이 아직 도착하지 않았어요.,번거로우시겠지만 주문번호를 알려주시면 배송 상태를 확인해 드리겠습니다.
결제 수단에는 무엇이 있나요?,"신용카드, 계좌이체, 카카오페이, 네이버페이 등을 지원합니다."
회원 가입은 꼭 해야 하나요?,"비회원으로도 주문이 가능하지만, 회원 가입 시 적립금 및 쿠폰 혜택을 받으실 수 있습니다."
책을 선물할 수 있나요?,"네, 선물 포장 옵션을 선택하시면 가능합니다. 메시지 카드도 추가할 수 있습니다."
적립금은 어떻게 사용하나요?,결제 단계에서 적립금을 선택하여 일부 또는 전액을 사용할 수 있습니다.
교환이나 반품은 어떻게 하나요?,수령 후 7일 이내에 마이페이지 > 반품/교환 신청 메뉴에서 요청하실 수 있습니다.
책에 이상이 있으면 어떻게 하나요?,파본이나 오배송 시 사진과 함께 고객센터로 연락 주시면 교환 처리해 드립니다.
주문 확인 메일을 못 받았어요.,"스팸 메일함을 확인해 보시고, 없을 경우 고객센터로 문의해 주세요."
쿠폰은 어디서 받을 수 있나요?,"이벤트 참여나 회원 가입 시 쿠폰이 자동 발급되며, 마이페이지에서 확인 가능합니다."
재입고 알림을 받을 수 있나요?,"네, 품절 도서 페이지에서 ‘재입고 알림 신청’을 하시면 알림을 보내드립니다."
여러 권을 한 번에 주문하면 합배송되나요?,"네, 기본적으로 한 주문에 포함된 상품은 함께 배송됩니다. 일부 예외가 있을 수 있습니다."
도서 구매 영수증이 필요한데요.,주문 완료 후 마이페이지에서 전자 영수증을 출력하실 수 있습니다.
세금계산서 발행이 되나요?,"사업자 회원은 세금계산서 발행이 가능하며, 사업자 정보 등록 후 요청해 주세요."
중고책도 판매하나요?,현재는 신간 도서만 판매하고 있습니다. 중고 도서는 추후 서비스 예정입니다.
포인트는 언제 적립되나요?,배송 완료 후 2~3일 이내 자동으로 적립됩니다.
아이디나 비밀번호를 잊어버렸어요.,로그인 페이지의 '아이디/비밀번호 찾기' 기능을 이용해 주세요.
『해리 포터와 마법사의 돌』 작가는 누구인가요?,J.K. 롤링(J.K. Rowling)입니다.
『1984』는 어떤 책인가요?,"조지 오웰의 디스토피아 소설로, 전체주의 사회의 위험성을 다룹니다."
『데미안』의 주요 내용은 무엇인가요?,"헤르만 헤세가 쓴 성장 소설로, 자아를 찾아가는 소년의 이야기를 그립니다."
『정의란 무엇인가』는 무슨 주제를 다루나요?,"마이클 샌델의 저서로, 정의에 대한 다양한 철학적 관점을 설명합니다."
『82년생 김지영』의 작가는 누구인가요?,조남주 작가입니다.
『연금술사』는 어떤 장르인가요?,파울로 코엘료의 자기계발형 판타지 소설입니다.
『지적 대화를 위한 넓고 얕은 지식』은 몇 권으로 구성되어 있나요?,총 5권 시리즈로 구성되어 있습니다.
『채식주의자』는 어떤 책인가요?,"한강 작가의 대표작으로, 인간의 욕망과 억압을 다룬 심리 소설입니다."
『노르웨이의 숲』의 분위기는 어떤가요?,"무라카미 하루키의 소설로, 감성적이고 우울한 분위기를 띱니다."
『미드나잇 라이브러리』는 어떤 독자에게 추천되나요?,삶의 방향을 고민하는 사람들에게 위로와 통찰을 주는 책입니다.
『죽고 싶지만 떡볶이는 먹고 싶어』는 어떤 책인가요?,우울과 일상에 대한 진솔한 에세이입니다.
『자기 앞의 생』은 누가 썼나요?,로맹 가리(에밀 아자르)라는 필명을 쓴 프랑스 작가입니다.
『부의 추월차선』은 어떤 내용인가요?,경제적 자유를 얻는 사고방식과 방법론을 다룬 자기계발서입니다.
『파친코』는 어떤 배경을 가지고 있나요?,일제강점기와 재일한국인의 삶을 배경으로 한 서사 소설입니다.
『소년이 온다』는 어떤 주제를 다루나요?,1980년 광주 민주화운동을 배경으로 한 한강 작가의 작품입니다.
『총 균 쇠』는 무슨 내용인가요?,인류 문명의 발전과 불균형을 과학적으로 분석한 역사서입니다.
『모순』은 어떤 이야기인가요?,"양귀자의 소설로, 20대 여성이 겪는 가족과 사랑의 갈등을 그립니다."
『공터에서』는 어떤 작품인가요?,"김훈 작가의 자전적 소설로, 삶의 공허함과 복원을 주제로 합니다."
『시간을 파는 상점』은 어떤 메시지를 주나요?,청소년과 청년에게 시간의 소중함과 삶의 가치에 대해 이야기합니다.
『하마터면 열심히 살 뻔했다』는 무슨 내용인가요?,"일과 삶의 균형, 번아웃에 대해 유쾌하게 풀어낸 에세이입니다."
『나는 나로 살기로 했다』는 어떤 책인가요?,자존감과 자기 수용에 대한 인사이트를 주는 자기계발 에세이입니다.
『사피엔스』의 저자는 누구인가요?,유발 하라리(Yuval Noah Harari)입니다.
『코스모스』는 어떤 책인가요?,칼 세이건이 집필한 우주 과학 입문서입니다.
『고래』는 어떤 소설인가요?,"천명관의 작품으로, 독특한 화법과 상징으로 유명한 현대소설입니다."
『달러구트 꿈 백화점』은 어떤 내용인가요?,꿈을 사고파는 상점을 배경으로 한 판타지 감성 소설입니다.
『불편한 편의점』은 어떤 책인가요?,평범한 일상 속 따뜻한 이야기를 전하는 소설입니다.
『내가 빛나는 순간』은 어떤 내용인가요?,청춘의 불안과 희망을 다룬 감성적인 에세이입니다.
『페스트』의 주요 주제는 무엇인가요?,알베르 카뮈가 전염병을 통해 인간의 본성과 연대를 고찰한 작품입니다.
『동물농장』은 어떤 책인가요?,"조지 오웰의 정치 풍자 소설로, 권력의 부패를 비판합니다."
『지구 끝의 온실』은 어떤 장르인가요?,디스토피아적인 세계관을 배경으로 한 환경소설입니다.
