질문,답변
배송은 얼마나 걸리나요?,보통 결제 완료 후 2~3일 이내에 배송됩니다. 지역에 따라 차이가 있을 수 있습니다.
무료 배송은 얼마부터 가능한가요?,"30,000원 이상 구매 시 무료 배송 혜택이 적용됩니다."
주문 취소는 어떻게 하나요?,마이페이지 > 주문내역에서 취소 가능한 상태일 경우 직접 취소하실 수 있습니다.
해외 배송도 되나요?,현재는 국내 배송만 지원하고 있습니다. 해외 배송은 준비 중입니다.
주문한 책이 아직 도착하지 않았어요.,번거로우시겠지만 주문번호를 알려주시면 배송 상태를 확인해 드리겠습니다.
결제 수단에는 무엇이 있나요?,"신용카드, 계좌이체, 카카오페이, 네이버페이 등을 지원합니다."
회원 가입은 꼭 해야 하나요?,"비회원으로도 주문이 가능하지만, 회원 가입 시 적립금 및 쿠폰 혜택을 받으실 수 있습니다."
책을 선물할 수 있나요?,"네, 선물 포장 옵션을 선택하시면 가능합니다. 메시지 카드도 추가할 수 있습니다."
적립금은 어떻게 사용하나요?,결제 단계에서 적립금을 선택하여 일부 또는 전액을 사용할 수 있습니다.
교환이나 반품은 어떻게 하나요?,수령 후 7일 이내에 마이페이지 > 반품/교환 신청 메뉴에서 요청하실 수 있습니다.
책에 이상이 있으면 어떻게 하나요?,파본이나 오배송 시 사진과 함께 고객센터로 연락 주시면 교환 처리해 드립니다.
주문 확인 메일을 못 받았어요.,"스팸 메일함을 확인해 보시고, 없을 경우 고객센터로 문의해 주세요."
쿠폰은 어디서 받을 수 있나요?,"이벤트 참여나 회원 가입 시 쿠폰이 자동 발급되며, 마이페이지에서 확인 가능합니다."
재입고 알림을 받을 수 있나요?,"네, 품절 도서 페이지에서 ‘재입고 알림 신청’을 하시면 알림을 보내드립니다."
여러 권을 한 번에 주문하면 합배송되나요?,"네, 기본적으로 한 주문에 포함된 상품은 함께 배송됩니다. 일부 예외가 있을 수 있습니다."
도서 구매 영수증이 필요한데요.,주문 완료 후 마이페이지에서 전자 영수증을 출력하실 수 있습니다.
세금계산서 발행이 되나요?,"사업자 회원은 세금계산서 발행이 가능하며, 사업자 정보 등록 후 요청해 주세요."
중고책도 판매하나요?,현재는 신간 도서만 판매하고 있습니다. 중고 도서는 추후 서비스 예정입니다.
포인트는 언제 적립되나요?,배송 완료 후 2~3일 이내 자동으로 적립됩니다.
아이디나 비밀번호를 잊어버렸어요.,로그인 페이지의 '아이디/비밀번호 찾기' 기능을 이용해 주세요.
